"","year","county","use_type","use_acre_ft"
"433",1984,"FALLS","irrigation",4700
"434",1984,"FALLS","livestock",211
"435",1984,"FALLS","manufacturing",0
"436",1984,"FALLS","mining",61
"437",1984,"FALLS","municipal",678
"438",1984,"FALLS","steam_electric_power",0
"439",1984,"FANNIN","irrigation",740
"440",1984,"FANNIN","livestock",154
"441",1984,"FANNIN","manufacturing",0
"442",1984,"FANNIN","mining",0
"443",1984,"FANNIN","municipal",2029
"444",1984,"FANNIN","steam_electric_power",352
"445",1984,"FAYETTE","irrigation",117
"446",1984,"FAYETTE","livestock",203
"447",1984,"FAYETTE","manufacturing",53
"448",1984,"FAYETTE","mining",6
"449",1984,"FAYETTE","municipal",3049
"450",1984,"FAYETTE","steam_electric_power",0
"451",1984,"FISHER","irrigation",1824
"452",1984,"FISHER","livestock",69
"453",1984,"FISHER","manufacturing",197
"454",1984,"FISHER","mining",335
"455",1984,"FISHER","municipal",80
"456",1984,"FISHER","steam_electric_power",0
"457",1984,"FLOYD","irrigation",179704
"458",1984,"FLOYD","livestock",876
"459",1984,"FLOYD","manufacturing",12
"460",1984,"FLOYD","mining",72
"461",1984,"FLOYD","municipal",558
"462",1984,"FLOYD","steam_electric_power",0
"463",1984,"FOARD","irrigation",4080
"464",1984,"FOARD","livestock",23
"465",1984,"FOARD","manufacturing",0
"466",1984,"FOARD","mining",0
"467",1984,"FOARD","municipal",61
"468",1984,"FOARD","steam_electric_power",0
"469",1984,"FORT BEND","irrigation",56486
"470",1984,"FORT BEND","livestock",507
"471",1984,"FORT BEND","manufacturing",4524
"472",1984,"FORT BEND","mining",159
"473",1984,"FORT BEND","municipal",27599
"474",1984,"FORT BEND","steam_electric_power",599
"475",1984,"FRANKLIN","irrigation",0
"476",1984,"FRANKLIN","livestock",423
"477",1984,"FRANKLIN","manufacturing",0
"478",1984,"FRANKLIN","mining",631
"479",1984,"FRANKLIN","municipal",265
"480",1984,"FRANKLIN","steam_electric_power",0
"481",1984,"FREESTONE","irrigation",0
"482",1984,"FREESTONE","livestock",1220
"483",1984,"FREESTONE","manufacturing",0
"484",1984,"FREESTONE","mining",74
"485",1984,"FREESTONE","municipal",1893
"486",1984,"FREESTONE","steam_electric_power",156
"487",1984,"FRIO","irrigation",89283
"488",1984,"FRIO","livestock",134
"489",1984,"FRIO","manufacturing",12
"490",1984,"FRIO","mining",323
"491",1984,"FRIO","municipal",2904
"492",1984,"FRIO","steam_electric_power",348
"493",1984,"GAINES","irrigation",282872
"494",1984,"GAINES","livestock",597
"495",1984,"GAINES","manufacturing",336
"496",1984,"GAINES","mining",4157
"497",1984,"GAINES","municipal",2845
"498",1984,"GAINES","steam_electric_power",0
"499",1984,"GALVESTON","irrigation",110
"500",1984,"GALVESTON","livestock",157
"501",1984,"GALVESTON","manufacturing",492
"502",1984,"GALVESTON","mining",37
"503",1984,"GALVESTON","municipal",10570
"504",1984,"GALVESTON","steam_electric_power",8
"505",1984,"GARZA","irrigation",5125
"506",1984,"GARZA","livestock",48
"507",1984,"GARZA","manufacturing",0
"508",1984,"GARZA","mining",777
"509",1984,"GARZA","municipal",167
"510",1984,"GARZA","steam_electric_power",0
"511",1984,"GILLESPIE","irrigation",3774
"512",1984,"GILLESPIE","livestock",892
"513",1984,"GILLESPIE","manufacturing",0
"514",1984,"GILLESPIE","mining",32
"515",1984,"GILLESPIE","municipal",3106
"516",1984,"GILLESPIE","steam_electric_power",0
"517",1984,"GLASSCOCK","irrigation",41647
"518",1984,"GLASSCOCK","livestock",314
"519",1984,"GLASSCOCK","manufacturing",8
"520",1984,"GLASSCOCK","mining",1
"521",1984,"GLASSCOCK","municipal",132
"522",1984,"GLASSCOCK","steam_electric_power",0
"523",1984,"GOLIAD","irrigation",23
"524",1984,"GOLIAD","livestock",110
"525",1984,"GOLIAD","manufacturing",0
"526",1984,"GOLIAD","mining",540
"527",1984,"GOLIAD","municipal",876
"528",1984,"GOLIAD","steam_electric_power",132
"529",1984,"GONZALES","irrigation",1089
"530",1984,"GONZALES","livestock",377
"531",1984,"GONZALES","manufacturing",0
"532",1984,"GONZALES","mining",18
"533",1984,"GONZALES","municipal",1435
"534",1984,"GONZALES","steam_electric_power",0
"535",1984,"GRAY","irrigation",16293
"536",1984,"GRAY","livestock",210
"537",1984,"GRAY","manufacturing",3153
"538",1984,"GRAY","mining",726
"539",1984,"GRAY","municipal",3247
"540",1984,"GRAY","steam_electric_power",0
"541",1984,"GRAYSON","irrigation",1215
"542",1984,"GRAYSON","livestock",120
"543",1984,"GRAYSON","manufacturing",98
"544",1984,"GRAYSON","mining",429
"545",1984,"GRAYSON","municipal",13441
"546",1984,"GRAYSON","steam_electric_power",0
"547",1984,"GREGG","irrigation",0
"548",1984,"GREGG","livestock",102
"549",1984,"GREGG","manufacturing",196
"550",1984,"GREGG","mining",3984
"551",1984,"GREGG","municipal",958
"552",1984,"GREGG","steam_electric_power",1
"553",1984,"GRIMES","irrigation",479
"554",1984,"GRIMES","livestock",800
"555",1984,"GRIMES","manufacturing",75
"556",1984,"GRIMES","mining",26
"557",1984,"GRIMES","municipal",2049
"558",1984,"GRIMES","steam_electric_power",0
"559",1984,"GUADALUPE","irrigation",3956
"560",1984,"GUADALUPE","livestock",90
"561",1984,"GUADALUPE","manufacturing",78
"562",1984,"GUADALUPE","mining",11
"563",1984,"GUADALUPE","municipal",1085
"564",1984,"GUADALUPE","steam_electric_power",0
"565",1984,"HALE","irrigation",526360
"566",1984,"HALE","livestock",1311
"567",1984,"HALE","manufacturing",1651
"568",1984,"HALE","mining",389
"569",1984,"HALE","municipal",4628
"570",1984,"HALE","steam_electric_power",0
