"","county","gallons_from_groundwater","year"
"394","Newaygo",1809602156,2014
"395","Oakland",1943882167,2014
"396","Oceana",1961550368,2014
"397","Ogemaw",121210363,2014
"398","Ontonagon",72653218,2014
"399","Osceola",569199711,2014
"400","Oscoda",90765300,2014
"401","Otsego",803903765,2014
"402","Ottawa",2221807727,2014
"403","Presque Isle",116410524,2014
"404","Roscommon",92217828,2014
"405","Saginaw",381872635,2014
"406","Saint Clair",46191826,2014
"407","Saint Joseph",18586318611,2014
"408","Sanilac",482268321,2014
"409","Schoolcraft",632220276,2014
"410","Shiawassee",87180590,2014
"411","Tuscola",449524204,2014
"412","Van Buren",8614341352,2014
"413","Washtenaw",2849446447,2014
"414","Wayne",671360559,2014
"415","Wexford",1491818719,2014
"416","Alcona",251174730,2013
"417","Alger",280449510,2013
"418","Allegan",5432421146,2013
"419","Alpena",14890397,2013
"420","Antrim",3587990464,2013
"421","Arenac",163988841,2013
"422","Baraga",0,2013
"423","Barry",1642132104,2013
"424","Bay",64176289,2013
"425","Benzie",697378344,2013
"426","Berrien",7412717063,2013
"427","Branch",7318954911,2013
"428","Calhoun",7529321308,2013
"429","Cass",15082762039,2013
"430","Charlevoix",5380385608,2013
"431","Cheboygan",941850128,2013
"432","Chippewa",435631806,2013
"433","Clare",529610816,2013
"434","Clinton",1392803336,2013
"435","Crawford",385470204,2013
"436","Delta",83938126,2013
"437","Dickinson",1000693375,2013
"438","Eaton",1177439011,2013
"439","Emmet",4943611434,2013
"440","Genesee",2553135090,2013
"441","Gladwin",175096924,2013
"442","Gogebic",647833800,2013
"443","Grand Traverse",1319572040,2013
"444","Gratiot",4631781679,2013
"445","Hillsdale",3270746229,2013
"446","Houghton",1126612618,2013
"447","Huron",314408768,2013
"448","Ingham",11788116885,2013
"449","Ionia",2901312371,2013
"450","Iosco",78245506,2013
"451","Iron",519343400,2013
"452","Isabella",2666667493,2013
"453","Jackson",7056715008,2013
"454","Kalamazoo",22352859388,2013
"455","Kalkaska",2127302254,2013
"456","Kent",5151581453,2013
"457","Keweenaw",16583627,2013
"458","Lake",115640820,2013
"459","Lapeer",569160544,2013
"460","Leelanau",1052934945,2013
"461","Lenawee",2152298833,2013
"462","Livingston",2913282233,2013
"463","Luce",603303740,2013
"464","Mackinac",95212675,2013
"465","Macomb",542999689,2013
"466","Manistee",1328024844,2013
"467","Marquette",1496167883,2013
"468","Mason",1044826357,2013
"469","Mecosta",4718485522,2013
"470","Menominee",57404850,2013
"471","Midland",194992354,2013
"472","Missaukee",2913003913,2013
"473","Monroe",8949666086,2013
"474","Montcalm",15322070968,2013
"475","Montmorency",79905467,2013
"476","Muskegon",2801896726,2013
"477","Newaygo",2463580837,2013
"478","Oakland",9181829539,2013
"479","Oceana",2770289054,2013
"480","Ogemaw",207847970,2013
"481","Ontonagon",29364500,2013
"482","Osceola",1335108881,2013
"483","Oscoda",61311005,2013
"484","Otsego",1481868062,2013
"485","Ottawa",3342317638,2013
"486","Presque Isle",7190921960,2013
"487","Roscommon",157017427,2013
"488","Saginaw",824685285,2013
"489","Saint Clair",183430124,2013
